time,x,y,z,vx,vy,vz,Fx,Fy,Fz,min_contact_distance,mechanical_energy,base_load,left_edge_load,right_edge_load
8.010000000000006004e-01,3.977111718301109752e-03,-8.440113514948042713e-04,2.343819125992429794e-02,3.998680895175784400e+00,-5.839733186356407682e-04,3.323301390362691510e-02,-4.517934297736369587e+01,-1.497961978414214990e+01,8.232370740766615427e+02,-2.533588346846690070e-04,1.623035343271758677e+02,0.000000000000000000e+00,8.232370740766615427e+02,0.000000000000000000e+00
8.110000000000006093e-01,4.396255274874791980e-02,-8.607921128242966525e-04,2.367635692510352066e-02,3.999756031441142667e+00,-4.672142636210460838e-03,-1.216197860874647027e-02,-7.226376406876807934e+00,-3.219935344032105462e+01,8.356559990528000981e+01,-1.508232114715737752e-04,1.619236324166624854e+02,0.000000000000000000e+00,8.356559990528000981e+01,0.000000000000000000e+00
8.210000000000006182e-01,8.394315207993237327e-02,-9.251644236820039981e-04,2.354219225274896757e-02,3.994380059558532370e+00,-6.226679064785678279e-03,4.416464841791929025e-02,-5.487252342088400070e+00,-3.608895546806569854e+01,7.773632556865024412e+01,-6.591492369537651358e-05,1.612577716008273967e+02,0.000000000000000000e+00,7.773632556865024412e+01,0.000000000000000000e+00
8.310000000000006271e-01,1.238830488328175605e-01,-9.843614376276801914e-04,2.352314211829712592e-02,3.994242578172641167e+00,-1.321828296935753828e-02,-3.489629218140206240e-02,-6.714070538824117307e+00,-4.599876108592872015e+01,1.027579782329507339e+02,-3.160692699009821915e-04,1.611428969862229508e+02,0.000000000000000000e+00,1.027579782329507339e+02,0.000000000000000000e+00
8.410000000000006359e-01,1.637881920099271138e-01,-1.127224991206751681e-03,2.347036932082204388e-02,3.990036687042065822e+00,-1.877548192390812026e-02,-2.744129803463179681e-02,-4.789371357101186888e+00,-3.278467915538877264e+01,8.183981316846862342e+01,-2.049182344437564061e-04,1.606961460206538845e+02,0.000000000000000000e+00,8.183981316846862342e+01,0.000000000000000000e+00
8.510000000000006448e-01,2.036450971147672762e-01,-1.279855025197986591e-03,2.351035667085862174e-02,3.984699504036278483e+00,-1.871880270635525867e-02,-2.759841051257208924e-02,-5.423746655189153110e+00,-1.735385771145596578e+01,7.817452386482837312e+01,-2.171313635662959571e-04,1.602951304773549737e+02,0.000000000000000000e+00,7.817452386482837312e+01,0.000000000000000000e+00
8.610000000000006537e-01,2.434578619480890771e-01,-1.426236212367732337e-03,2.349099545391875390e-02,3.979620189645352024e+00,-1.416268387797586445e-02,-2.763834939457181575e-02,-4.958771868159914220e+00,-6.864317473359317745e+00,5.912588531719689655e+01,-1.913393156801595357e-04,1.598859767584146994e+02,0.000000000000000000e+00,5.912588531719689655e+01,0.000000000000000000e+00
8.710000000000006626e-01,2.832215669853834217e-01,-1.510607541060784900e-03,2.347367065602306430e-02,3.974585689256490362e+00,-7.333969194422290845e-03,-2.710280681719587359e-02,-5.089017662994296032e+00,8.857909643662178922e+00,5.565826458845191382e+01,-1.258747657290589309e-04,1.594484285224256155e+02,0.000000000000000000e+00,5.565826458845191382e+01,0.000000000000000000e+00
8.810000000000006715e-01,3.229342945966237610e-01,-1.485637431540415320e-03,2.350578700277403815e-02,3.970397276569294753e+00,4.154614197668368702e-03,-3.164129363495948172e-02,-1.144241053326108704e+00,1.218255666389427994e+01,2.553833167575237439e+01,-1.630859487282490528e-04,1.590339979925233820e+02,0.000000000000000000e+00,2.553833167575237439e+01,0.000000000000000000e+00
8.910000000000006803e-01,3.625981624627425681e-01,-1.321270927191716023e-03,2.349060608750030976e-02,3.963807285707859673e+00,2.494614493455327153e-02,1.107574206746463931e-02,-4.733764148869305188e+01,9.969409797518643757e+01,8.263915455317531951e+02,-1.501305420056908181e-04,1.585924566537018734e+02,0.000000000000000000e+00,8.263915455317531951e+02,0.000000000000000000e+00
