time,x,y,z,vx,vy,vz,Fx,Fy,Fz,min_contact_distance,mechanical_energy,base_load,left_edge_load,right_edge_load
8.004999999999672378e-01,1.980247619858251616e-03,7.977818593238229393e-04,2.341333175491274593e-02,3.999335585300415552e+00,2.806343323801494829e-04,1.663319268135247594e-02,-4.517877085792685676e+01,1.499554660191719080e+01,8.232314750838302189e+02,-2.546978724202401262e-04,1.623035017464354155e+02,0.000000000000000000e+00,0.000000000000000000e+00,8.232314750838302189e+02
8.054999999999666871e-01,2.196910073436150052e-02,8.088557465714676584e-04,2.368190703594139079e-02,3.997808747385685368e+00,1.695789259051500584e-03,4.445090661482947042e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.619441083825997509e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.104999999999661364e-01,4.195868919619365200e-02,8.138251873779937719e-04,2.378534621808490665e-02,3.999096051863402224e+00,2.650612801496402340e-03,2.391615400491328182e-03,-4.027360947908253053e+00,1.564479581794087615e+01,3.421651865533206660e+01,-7.400609397825003676e-05,1.618869968561328960e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.421651865533206660e+01
8.154999999999655858e-01,6.195594248019411360e-02,8.436959948681221205e-04,2.369563134982344971e-02,3.999592184075817070e+00,7.730168898323947282e-03,-3.512899407950530184e-02,-5.905694888472277526e+00,3.165361793014321989e+01,7.530357178208478786e+01,-8.451178047824345341e-05,1.618146228740791344e+02,0.000000000000000000e+00,0.000000000000000000e+00,7.530357178208478786e+01
8.204999999999650351e-01,8.195463743620771957e-02,9.008304917707639012e-04,2.343166758447710885e-02,3.999410054771814771e+00,1.278479890574987093e-02,-4.807367419967487066e-02,-5.045337606203454328e+01,4.577053295785383114e+01,9.735152242785138696e+02,-4.365220939758253371e-05,1.617360601825785693e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.735152242785138696e+02
8.254999999999644844e-01,1.019232746505561726e-01,9.350960251805210321e-04,2.359280682907690524e-02,3.992398476157561493e+00,4.748639594897284023e-03,5.136394367241228776e-02,-1.956406243518892030e+00,7.056461474216622065e+00,1.813600312022595062e+01,-5.251291404873557368e-05,1.610536647528772392e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.813600312022595062e+01
8.304999999999639337e-01,1.218854344832531605e-01,9.726397760986990560e-04,2.374171146985733921e-02,3.991980770543767765e+00,1.073967741082621288e-02,1.299234545598168186e-02,-6.406212987826740424e+00,2.761398038382699482e+01,8.351059637283537995e+01,-5.022116662519587882e-05,1.609895208833447668e+02,0.000000000000000000e+00,0.000000000000000000e+00,8.351059637283537995e+01
8.354999999999633831e-01,1.418483343493852078e-01,1.024491343284871002e-03,2.369410424598552417e-02,3.992286803363082726e+00,1.219977289749010763e-02,-2.681923625552491003e-02,-4.683345490121649135e+00,3.131740062820924919e+01,7.363608840968879576e+01,-1.401759229281394903e-04,1.609389231605588861e+02,0.000000000000000000e+00,0.000000000000000000e+00,7.363608840968879576e+01
8.404999999999628324e-01,1.618073932143591631e-01,1.111329745190512471e-03,2.346372857408831475e-02,3.992216013277597675e+00,1.774290042281667992e-02,-6.379239754532103901e-02,-1.311448838996178257e+00,3.419003831064324928e+00,1.471478085457912854e+01,-2.399367688584418123e-05,1.608682958809731076e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.471478085457912854e+01
8.454999999999622817e-01,1.817359529803205809e-01,1.133694085317821145e-03,2.356844847163596171e-02,3.983110946115507645e+00,-1.280398128196561522e-03,4.213948732907812911e-02,-9.512401204524773002e-01,2.969331304398327820e+00,1.020859862755451175e+01,-1.484934676115965552e-05,1.602232284341867512e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.020859862755451175e+01
