time,target_roll_deg,actual_roll_deg,Fx,Fy,Fz,base_load,left_load,right_load,fixture_torque_Nm,fixture_work_J,mechanical_energy_J
0.000000000000000000e+00,0.000000000000000000e+00,-1.327171415591130523e-15,1.087693709158873364e-16,6.287156451344278972e-14,1.888523099999999317e+02,9.442065359709316397e+01,4.721582820145130910e+01,4.721582820145547288e+01,1.347108855968485285e-14,-1.272568668353195327e-33,4.997111800952534821e+00
1.000000000000000021e-02,1.099376567734490218e+00,3.370006783252564846e-03,3.903682564242422215e-03,-9.384873576539289886e+00,2.006339880674200913e+02,9.165445935479534967e+01,0.000000000000000000e+00,1.089795287126247558e+02,9.122799457943226997e+00,4.505042349921011989e-04,4.997252427385109996e+00
2.000000000000000042e-02,2.197668183525967933e+00,9.575327205271957909e-02,-1.553287606215283251e-02,-1.735312399938631955e+01,2.169260405046600795e+02,6.695783949928630818e+01,0.000000000000000000e+00,1.499682010053737713e+02,1.212927960397057703e+01,1.929835315920446631e-02,5.014681158410102313e+00
2.999999999999999889e-02,3.293790966148000710e+00,3.920455894872387770e-01,9.209586543851924073e-03,-1.695359350094003048e+01,2.119256443177380618e+02,2.863640951459046846e+01,0.000000000000000000e+00,1.832892348031475933e+02,1.168621329542192910e+01,8.115611594172061904e-02,5.073731790501888383e+00
4.000000000000000083e-02,4.386663174750649041e+00,8.839470341773447704e-01,1.342290378019546371e-02,-1.651882288256916453e+01,2.065081843595903877e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.065081843595903877e+02,1.074192296843338568e+01,1.767727701354180336e-01,5.163593402787810760e+00
5.000000000000000278e-02,5.475206276408079553e+00,1.529831733630236501e+00,1.004098783895693292e-03,-1.223090490873409664e+01,2.026580146285597550e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.026580146285597550e+02,9.841337681093840217e+00,2.921033901263708765e-01,5.272410998830801887e+00
5.999999999999999778e-02,6.558346010500360812e+00,2.293606265274126699e+00,3.222634174596932660e-04,-9.117234462265178863e+00,1.986851755198855187e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.986851755198855187e+02,9.025560442656654914e+00,4.170153793486353622e-01,5.391513440161834758e+00
7.000000000000000666e-02,7.635013448878988918e+00,3.144525198282471568e+00,-5.314442539169506735e-04,-7.187393710625860521e+00,1.954892953977976333e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.954892953977976333e+02,8.376976268692956751e+00,5.454975685630464310e-01,5.515238890028626884e+00
8.000000000000000167e-02,8.704146050769917764e+00,4.058143605632930750e+00,-1.186086454968947324e-04,-5.792499578915888847e+00,1.930030687006934329e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.930030687006934329e+02,7.864812507040667811e+00,6.743902236189217581e-01,5.640464263884513052e+00
8.999999999999999667e-02,9.764688711373024077e+00,5.016058471922400841e+00,-9.476648848803781444e-05,-4.715137787692012417e+00,1.911361373355074988e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.911361373355074988e+02,7.454680981367459935e+00,8.019665499304511336e-01,5.765326177777515326e+00
