time,x,y,z,vx,vy,vz,Fx,Fy,Fz,min_contact_distance,mechanical_energy,base_load,left_edge_load,right_edge_load
8.010000000000006004e-01,3.997359061886831405e-03,1.812195370722220761e-10,2.098209010425435006e-03,3.997833541220950249e+00,-5.036597811525395805e-11,3.434786093256130685e-02,-4.160497080533693293e+01,-9.711226121571908676e-07,8.320879365171884956e+02,-2.804909000840745403e-05,1.590051703079041943e+02,4.155032589012330391e+02,2.082923386752370618e+02,2.082923389407183095e+02
8.110000000000006093e-01,4.396291569953993117e-02,1.804118843766702911e-10,2.151391323022683582e-03,3.993140510221288242e+00,-1.619002325232214217e-10,3.126227950588593429e-02,-3.333954535528613761e-01,-8.540643042179857369e-09,6.665650439450134357e+00,-1.722585008459218137e-06,1.585014003534169831e+02,3.158934820115697484e+00,1.753357990473685568e+00,1.753357628860751083e+00
8.210000000000006182e-01,8.388512186282352789e-02,1.785932381236658495e-10,2.087498300616641520e-03,3.988234063467235302e+00,-2.761626906785119012e-10,3.207959657246544499e-02,-4.189770530131313819e+01,-9.718963059645625846e-07,8.379441950215780253e+02,-6.865644169690848786e-05,1.582632430228836427e+02,4.184420689797145201e+02,2.097510628913384210e+02,2.097510631505249421e+02
8.310000000000006271e-01,1.237555845224057316e-01,1.755772810307537515e-10,2.073008518868385639e-03,3.985521601105696643e+00,-3.357039591606067892e-10,-1.567666446305456332e-02,-8.188487914579061222e-01,-2.085067958589904846e-08,1.636974668068110716e+01,-8.337813084729507607e-05,1.579049653577006325e+02,7.765941164125324647e+00,4.301902725711395981e+00,4.301902790844384761e+00
8.410000000000006359e-01,1.635716614781952960e-01,1.712879070839705395e-10,2.174133840099789182e-03,3.978713346629451308e+00,-4.967985298708424140e-10,2.517781366462954612e-02,-1.515268754919060490e-01,-4.274517761450324915e-09,3.029334929055127024e+00,-2.155959578671552343e-05,1.573957386061300951e+02,1.345466573241087982e+00,8.419343580770930480e-01,8.419339977369457717e-01
8.510000000000006448e-01,2.033494438526934622e-01,1.661164062927495556e-10,2.052882276417205328e-03,3.973715740401769558e+00,-6.142428997429095097e-10,2.826766538650333019e-02,-4.256399496383110659e+01,-9.756584643172069859e-07,8.512728914843412440e+02,-6.793626067435817872e-05,1.571450863150692783e+02,4.253256385495720338e+02,2.129736265484992543e+02,2.129736263862699843e+02
8.610000000000006537e-01,2.430650005156510807e-01,1.595225390776424366e-10,2.197828479283147653e-03,3.971371501667308568e+00,-6.621433991345168914e-10,-2.832714114712338999e-02,-8.214193223813944789e-01,-1.976774837222916581e-08,1.642079232537353661e+01,-1.547169204343772086e-05,1.568501909386664295e+02,7.956927362861792474e+00,4.231932270495020632e+00,4.231932692016720843e+00
8.710000000000006626e-01,2.827369571831069850e-01,1.590918000819224899e-10,2.240945640471429193e-03,3.964344649778495544e+00,5.675473101694866116e-11,1.559923227095046973e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.563119207340129435e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.810000000000006715e-01,3.223722181188769520e-01,1.619261752814533722e-10,2.029696023585015122e-03,3.959337830654805934e+00,1.164200921898562453e-09,2.141225148368851305e-02,-4.368661179327946087e+01,9.927395624387920156e-06,8.737237326031994371e+02,-7.334899279851873205e-05,1.560525817166355296e+02,4.363419900510904768e+02,2.186896330358461569e+02,2.186921095162630024e+02
8.910000000000006803e-01,3.619435801308829026e-01,1.795593414103817493e-10,2.118194190288959829e-03,3.956985357507275314e+00,1.763040321755533606e-09,-3.373640491471164432e-02,-5.716234055166871109e-01,-4.196520293825098391e-07,1.142753151386866328e+01,-7.215067490136612208e-05,1.557394491936456404e+02,5.283625942243593165e+00,3.071859503139633851e+00,3.072046068485434045e+00
9.010000000000006892e-01,4.014729694018732697e-01,2.143692669005892552e-10,2.067077543012536475e-03,3.952190618107808362e+00,4.002813758972698293e-09,-3.388148193929071267e-02,-5.038284486234980708e-01,2.039639400582948098e-06,1.007329315482613907e+01,-4.275935398632101092e-05,1.553560778321694897e+02,4.861370460812581840e+00,2.605913181335259843e+00,2.606009512678296947e+00
