time,x,y,z,vx,vy,vz,Fx,Fy,Fz,min_contact_distance,mechanical_energy,base_load,left_edge_load,right_edge_load
8.010000000000006004e-01,3.997847175157660631e-03,9.531587836423137026e-05,2.100360225074413001e-03,3.997803293903019028e+00,8.401775749395843678e-06,3.457916231634215048e-02,-4.215064970037472847e+01,1.617283183751513920e-01,8.390760926133756357e+02,-1.585170214177503454e-05,1.590056986692560201e+02,4.102844638216437829e+02,2.842287382495694033e+02,1.445728630761718705e+02
8.110000000000006093e-01,4.396732214060378174e-02,9.541922037281189302e-05,2.071416584232968830e-03,3.995196566094005863e+00,1.443364996649978285e-05,-1.117724299350371028e-02,-9.708511339751990654e-01,2.182238767299046756e-02,1.911441527612450386e+01,-5.862292130855324690e-05,1.586382628493987852e+02,1.040192612956892937e+01,2.353355766084091361e+00,6.359902572533986387e+00
8.210000000000006182e-01,8.388494015679753835e-02,9.617857010298825487e-05,2.085072594331820618e-03,3.990129933455207834e+00,7.618394507950046999e-05,-1.263908356908479899e-02,-5.481295960432762682e-01,-8.169429207563874695e-03,1.123759187202277054e+01,-6.927251962345342025e-05,1.582636778667538238e+02,1.123691749744875601e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.310000000000006271e-01,1.237465591595119097e-01,9.804477789884024426e-05,2.195846686351758410e-03,3.985211920667886432e+00,2.599381772353261100e-04,-1.866342376999942029e-02,-6.678425816322652864e-01,-9.644269090818884116e-03,1.358940414458230173e+01,-8.874928113798154737e-05,1.579071418838979639e+02,1.082316812615182755e+01,2.218714309005932472e-01,2.543797708019756687e+00
8.410000000000006359e-01,1.635624883070772861e-01,1.008207660392128845e-04,2.206062299839437520e-03,3.978043976514169966e+00,2.977423932375737256e-04,2.703338918596090434e-02,-9.005135568766554632e-01,-6.320171235099245055e-03,1.780871963646315592e+01,-5.106007973203013049e-05,1.573593342730466702e+02,1.547348095156573855e+01,2.335744303590977733e+00,0.000000000000000000e+00
8.510000000000006448e-01,2.033387699809633409e-01,1.040265877637217094e-04,2.010572621894080904e-03,3.974872198509369348e+00,3.652055110103729707e-04,-1.303713646634944122e-02,-5.200515447542162661e+01,2.622719501583581914e-01,1.028000400228194394e+03,-5.802289469958505676e-05,1.573184583434214687e+02,5.004830204273562231e+02,2.999302768368094689e+02,2.276176049357675026e+02
8.610000000000006537e-01,2.430474951437779918e-01,1.078026629648987810e-04,2.184756720022797399e-03,3.970562242433417488e+00,3.771951366390238086e-04,-2.109236284398688724e-02,-2.863409807002965102e-01,-1.715947574261900404e-03,5.520703784490168076e+00,-2.739187414738065637e-05,1.567718070686746614e+02,3.545121554328237501e+00,9.697268389565701918e-01,1.006376503681839507e+00
8.710000000000006626e-01,2.827196583802403795e-01,1.116395781374383199e-04,2.090031144603903511e-03,3.965536277058837378e+00,3.866056198917915869e-04,-1.841078985206169583e-02,-5.565607802485372790e-01,-5.429364468852546088e-03,1.107006303059681329e+01,-5.491188427728566253e-05,1.563690654746029907e+02,6.255719013608898038e+00,4.814488853287780756e+00,0.000000000000000000e+00
8.810000000000006715e-01,3.223352329524578064e-01,1.155148820662381306e-04,2.152855081511669769e-03,3.960775238923718522e+00,3.880305039157084059e-04,-2.331391729093508849e-02,-1.138877851429681787e+00,7.561353887418172624e-03,2.265911559271851772e+01,-5.931802268250110401e-05,1.560256991473540609e+02,2.045258784284542486e+01,0.000000000000000000e+00,2.206839418303417677e+00
8.910000000000006803e-01,3.619056350362561680e-01,1.198518976780305707e-04,2.109869082881015313e-03,3.955466679154291842e+00,5.535940588212139848e-04,-2.372350430735329155e-02,-5.849383258997062907e-01,3.433521495747039048e-03,1.169444301970874811e+01,-2.197443073908081357e-06,1.556191471782416329e+02,6.693510423472058157e+00,2.591345699725543295e+00,2.409586896522577515e+00
9.010000000000006892e-01,4.014234405810112039e-01,1.253029410053767159e-04,2.100953173649807663e-03,3.950782870067823804e+00,5.422263018166671809e-04,-2.513390968349874660e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.552525724042616559e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.110000000000006981e-01,4.408915165929282454e-01,1.307249850598618090e-04,2.112497040038933613e-03,3.946060062972453153e+00,5.425728630691152620e-04,-2.782406011281636504e-02,-1.852416681506530161e-01,1.775519930195765608e-03,3.656978558027761395e+00,-2.241372119372517235e-05,1.548952302652322430e+02,3.438037505915815917e+00,1.506460052922414528e-01,6.841519885344336804e-02
9.210000000000007070e-01,4.803108506597286720e-01,1.361943998212186040e-04,2.105957171492470279e-03,3.941221958784362212e+00,5.477113078737135985e-04,-2.967386769923695961e-02,-7.579700401748945549e-01,1.258743102490581661e-03,1.509415105711018334e+01,-5.753389370218606018e-05,1.545287663148307331e+02,1.509431807585905183e+01,0.000000000000000000e+00,0.000000000000000000e+00
