time,x,y,z,vx,vy,vz,Fx,Fy,Fz,min_contact_distance,mechanical_energy,base_load,left_edge_load,right_edge_load
1.000000000000000021e-03,8.003579383314800566e+00,0.000000000000000000e+00,3.866770604928230437e+00,3.579383314800978155e+00,0.000000000000000000e+00,-1.795311354164808026e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.887029569943473462e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000283e-02,8.039373216462806226e+00,-2.459975648703485619e-38,3.848277941386581968e+00,3.579383314800978155e+00,-1.831551894278493572e-35,-1.893411354164808325e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.886936937885419638e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000001171e-02,8.075167049610811887e+00,-1.779534892477930884e-36,3.828804277844934045e+00,3.579383314800978155e+00,-4.783799898648282632e-34,-1.991511354164809067e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.886844305827361268e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000002059e-02,8.110960882758817547e+00,-7.417636645973034420e-36,3.808349614303285779e+00,3.579383314800978155e+00,-3.348984856558085239e-34,-2.089611354164807810e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.886751673769308582e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.100000000000002948e-02,8.146754715906823208e+00,-1.255512531080269812e-35,3.786913950761638059e+00,3.579383314800978155e+00,-5.669540783403838507e-34,-2.187711354164806554e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.886659041711252485e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.100000000000003836e-02,8.182548549054828868e+00,-1.975449922554597498e-35,3.764497287219989996e+00,3.579383314800978155e+00,-1.024111169723099582e-33,-2.285811354164805298e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.886566409653197525e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.100000000000004724e-02,8.218312560350138796e+00,4.860816946423787981e-04,3.742735308508513992e+00,3.447667603387321034e+00,2.083486579881091705e-01,-1.684320872593046969e+00,-2.237918117450902628e+03,-1.196474306782413635e+02,3.451830818598398764e+03,-1.611093358895199007e-03,8.671292916768003352e+02,3.978806366337739291e+03,9.272398578021046660e+02,5.232376072982127653e+02
7.100000000000004918e-02,8.252925371824806788e+00,2.859297369695119363e-03,3.727299969423567561e+00,3.418674002181318450e+00,2.831948578476268241e-01,-1.479473274093890067e+00,2.517160300036214715e-01,-5.305029388073694875e-03,5.767417692209515501e-01,-1.363752295428643114e-04,8.432108609900792544e+02,6.284991143741707198e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.100000000000005806e-02,8.287203315232762435e+00,5.690888616489413188e-03,3.711956008457405254e+00,3.434749049713952562e+00,2.831546428694803330e-01,-1.578313625234321060e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.431879460616469260e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.100000000000006695e-02,8.321560062741401254e+00,8.521772663605440071e-03,3.695671267513326530e+00,3.434564368476652696e+00,2.830154899870107044e-01,-1.669553155113992604e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.431733951529718070e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
