time,x,y,z,vx,vy,vz,Fx,Fy,Fz,min_contact_distance,mechanical_energy,base_load,left_edge_load,right_edge_load
1.000000000000000021e-03,8.003579383314800566e+00,0.000000000000000000e+00,3.866770604928230437e+00,3.579383314800978155e+00,0.000000000000000000e+00,-1.795311354164808026e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.887029569943473462e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000283e-02,8.039373216462806226e+00,-5.242444944940328069e-39,3.848277941386581968e+00,3.579383314800978155e+00,-1.575123561277408644e-36,-1.893411354164808991e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.886936937885419638e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000001171e-02,8.075167049610811887e+00,-2.146826625738303385e-38,3.828804277844934045e+00,3.579383314800978155e+00,2.985774961056409944e-37,-1.991511354164809955e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.886844305827361268e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000002059e-02,8.110960882758817547e+00,-6.577781431348980726e-38,3.808349614303285779e+00,3.579383314800978155e+00,1.459170311796814806e-36,-2.089611354164808699e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.886751673769308582e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.100000000000002948e-02,8.146754715906823208e+00,3.669766199159074933e-40,3.786913950761638059e+00,3.579383314800978155e+00,-5.052060729499464398e-37,-2.187711354164807442e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.886659041711252485e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.100000000000003836e-02,8.182548549054828868e+00,-3.317158025119677663e-37,3.764497287219989996e+00,3.579383314800978155e+00,-6.567765019246623081e-35,-2.285811354164806186e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.886566409653197525e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.100000000000004724e-02,8.218395862978866262e+00,2.131527110075698858e-04,3.742775104787162466e+00,3.483285827186553441e+00,5.400369893922762204e-02,-1.788886113710574932e+00,-3.329677143220996186e+03,-6.024986810625534872e+01,3.506352707525896221e+03,-1.203464119452190553e-03,8.774214978340816060e+02,5.055685723993820829e+03,7.663095536859899539e+02,2.875600285301136978e+02
7.100000000000004918e-02,8.252467678804654483e+00,2.275238603119013239e-03,3.727200468339234352e+00,3.360968707061802618e+00,2.668219487527120348e-01,-1.461435757326335017e+00,5.191102356286662456e+01,-1.300413524742953131e+00,1.190992549238967371e+02,-2.295542740762481111e-04,8.379979597224665895e+02,8.734318547560778256e+01,0.000000000000000000e+00,4.241906099829979837e+01
8.100000000000005806e-02,8.286089391590516939e+00,4.935696254357756912e-03,3.712115832061205545e+00,3.363591297487086074e+00,2.660335171407122723e-01,-1.549829995362117963e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.379581118604439780e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.100000000000006695e-02,8.319755663238673549e+00,7.595536595336420740e-03,3.696111679297920727e+00,3.368638726728179211e+00,2.659357678915162948e-01,-1.642493217908158165e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.379436146721034220e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
