time,x,y,z,vx,vy,vz,Fx,Fy,Fz,min_contact_distance,mechanical_energy,base_load,left_edge_load,right_edge_load
1.000000000000000021e-03,1.800571602566983742e+01,-6.054777080378123879e-06,9.390357973355137888e-01,5.716025669839031487e+00,-6.054777080378123330e-03,-1.537316964466284519e+00,-4.958110897795628489e+02,-4.179160778907458074e-01,2.599359995249146777e+02,-5.818037569708664654e-03,5.285817044853623656e+02,2.026116629779281539e+03,9.466632824543095239e+02,1.063010136028984107e+03
1.100000000000000283e-02,1.806150475414413137e+01,-5.487843535990367792e-05,9.236069210877621005e-01,5.646608273512043752e+00,-5.558739292670531081e-03,-1.598521173964084108e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.005564505723835964e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000001171e-02,1.811755541083787335e+01,-1.080199626418624332e-04,9.072750881747765339e-01,5.564260348170813941e+00,-5.400610882228801431e-03,-1.658427192439373199e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.003442785242637569e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000002059e-02,1.817318520977805818e+01,-1.297834616672875567e-04,8.902746610097176383e-01,5.595059730903343187e+00,5.199764343374889452e-04,-1.741506704487876700e+00,7.478190150934308278e+00,-3.542482900807303881e-01,6.092946150336057798e+01,-1.105307327870903855e-03,5.001443548592678212e+02,2.293076993722423040e+01,1.351725556239263604e+01,2.486244599542509448e+01
4.100000000000002948e-02,1.822937649283467110e+01,1.377638607995299654e-04,8.724116420845149378e-01,5.618542655687347676e+00,3.302484343264043554e-02,-1.819163567526269176e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.001201561123474448e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.100000000000003836e-02,1.828439586176559928e+01,2.164584731699947427e-04,8.541891603412941070e-01,5.261681229630395862e+00,-1.414884104118938751e-02,-1.731263520806285872e+00,-3.442845273796125639e+03,-1.384935228197478523e+02,2.163973570547555937e+03,-3.398034768262223667e-03,4.879136670881806026e+02,1.059869232440674750e+03,3.533978013304259207e+02,4.636736504485391379e+03
6.100000000000004724e-02,1.832370607956841013e+01,4.662924292605154122e-04,8.441088789091719669e-01,3.300922399725260359e+00,7.188323761517147192e-02,-6.354419180279513579e-01,7.963257129242084886e+01,-3.147965119613984480e-02,4.783547651340317657e+02,-9.474175283969124735e-04,2.711680132354056809e+02,1.377337583998857440e+02,1.675548601768167885e+02,1.791238541863648095e+02
7.100000000000004918e-02,1.835659537715453382e+01,1.378598264855481923e-03,8.379769943399282273e-01,3.288985187027783308e+00,9.265148483568928783e-02,-6.347279163660829449e-01,6.412131429182480247e+00,2.928078645238847422e-01,7.094585616742494949e+01,-2.108862689609779413e-03,2.708750812665163608e+02,4.804274837172563650e+01,0.000000000000000000e+00,2.310356813807111109e+01
8.100000000000005806e-02,1.838897476897800942e+01,2.427183317179407163e-03,8.313898062680187273e-01,2.834991725300845200e+00,1.071643486388169086e-01,-5.945599068259652675e-01,-2.238922524609379707e+03,-2.224297642524859953e+01,7.104209863699642256e+02,-2.421052467414335028e-03,2.661463194467221456e+02,1.642514956551851128e+03,9.144344073138070144e+02,1.379891522796756931e+02
9.100000000000006695e-02,1.841528621282703071e+01,3.475437880321713153e-03,8.268167881598499358e-01,2.267882491237548592e+00,2.736288332085624608e-01,-2.804829865124822685e-01,6.969993719775368746e+00,2.587895170991006744e+00,9.113393406671296759e+01,-2.379287707752911294e-04,2.083145691338015411e+02,9.130522096678157595e+01,0.000000000000000000e+00,0.000000000000000000e+00
