time,x,y,z,vx,vy,vz,Fx,Fy,Fz,min_contact_distance,mechanical_energy,base_load,left_edge_load,right_edge_load
1.000000000000000021e-03,1.800576020730112248e+01,-3.266964764559768390e-06,9.390239665990631757e-01,5.760207301123586809e+00,-3.266964764559768166e-03,-1.549147700916819081e+00,-6.113581270582271827e+02,8.999657968493077753e-01,2.959758033333090452e+02,-5.818037569708664654e-03,5.285817044853623656e+02,2.458618739988311972e+03,1.191490251420342929e+03,1.264434393790954800e+03
1.100000000000000283e-02,1.806261724961829529e+01,-5.268541095141170887e-05,9.233186736607833511e-01,5.685390679677897019e+00,-3.674732503818691626e-03,-1.607193388482126339e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.159084575959436734e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000001171e-02,1.811952285294863785e+01,-8.933579389981684239e-05,9.067586244153177377e-01,5.694908350160739374e+00,-3.449993002487030704e-03,-1.694314759237047552e+00,2.272365280214660554e+00,2.731321220366157015e-02,1.641425675369260162e+01,-9.053787690583322938e-05,5.158569507964812146e+02,7.473354320229296910e+00,9.076754090422237908e+00,0.000000000000000000e+00
3.100000000000002059e-02,1.817654599495038781e+01,-9.410558878196829730e-05,8.893784105305690968e-01,5.710997291182550839e+00,1.703818036790520022e-03,-1.772331899281901935e+00,7.794054372740506054e+00,7.331297574646247761e-02,6.360507349899978635e+01,-5.083094388555287144e-04,5.156412337425044825e+02,2.972095070303075914e+01,2.274243786475649642e+01,1.153750221582583890e+01
4.100000000000002948e-02,1.823264760489688285e+01,-8.677423101979733332e-05,8.714872681151839551e-01,5.354064537403536939e+00,-2.806479974447348077e-03,-1.767081189834866173e+00,6.873900903501444226e+00,-5.142999091413527069e-01,6.432586675111633667e+01,-1.342999021945993736e-03,4.757571952736256549e+02,1.568330209802045516e+01,4.658280511531691559e+01,2.346365305458614436e+00
5.100000000000003836e-02,1.828659508056047045e+01,-6.143864211274023416e-05,8.538819658807367263e-01,5.472544163980656684e+00,7.879933965686444428e-03,-1.662263312856714137e+00,1.207422574927711594e+02,-7.213753258545564373e-01,7.136986190457937482e+02,-1.160981282631024219e-03,4.736880773679472441e+02,2.278750860016394881e+02,1.838751022856832265e+02,3.112323761552774499e+02
6.100000000000004724e-02,1.833936932988146751e+01,4.345669608815934219e-04,8.416437796904630009e-01,5.221777695390923846e+00,3.854360255367417221e-02,-9.593541063548775005e-01,1.390157498049772755e+02,2.601213110220014446e+00,7.587969662502860047e+02,-1.907863456803535196e-03,4.293225821660028032e+02,3.127286544404609572e+02,0.000000000000000000e+00,4.578753655928054513e+02
7.100000000000004918e-02,1.839138149435599345e+01,5.864899813753663219e-04,8.329877650532531153e-01,5.189081076605864595e+00,6.228637321697007984e-03,-8.485012835977084888e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.616997196792441530e-04,4.280111434070346377e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.100000000000005806e-02,1.844315510643846068e+01,6.492011022206682028e-04,8.241182113917836505e-01,5.168323523279187981e+00,5.797318385393141101e-03,-9.179598026251365450e-01,1.826292809386997362e+01,1.415757609077556989e+00,7.960110983196318557e+01,-1.222397029450168282e-03,4.276946829141354556e+02,1.016359394650298320e+01,3.100048275041644530e+01,4.040522405630794367e+01
9.100000000000006695e-02,1.849478900236379886e+01,6.900782778937681120e-04,8.145592650121141753e-01,5.164563173832408260e+00,2.181734247422497264e-03,-9.897126585525126696e-01,5.559400180575136297e+00,-4.019885905298286044e-01,5.808668575226240449e+01,-1.094822638135260848e-04,4.275299764965309919e+02,2.674537467444700312e+01,0.000000000000000000e+00,3.160637060467004744e+01
