time,x,y,z,vx,vy,vz,Fx,Fy,Fz,min_contact_distance,mechanical_energy,base_load,left_edge_load,right_edge_load
8.000000000000005995e-01,-1.099897575451028567e-06,-1.608735526069464926e-04,1.477232879617722608e-02,4.000000000000000000e+00,5.935721347738736389e-08,1.685323330088364398e-07,-4.110106561786965074e+01,-4.159848754987325314e-01,8.113752589841800500e+02,-2.041212380323575298e-04,1.611705804776148909e+02,0.000000000000000000e+00,8.113752589841800500e+02,0.000000000000000000e+00
8.100000000000006084e-01,3.996572574517022469e-02,-1.590525240291390324e-04,1.502691755736481130e-02,3.996568409987171666e+00,4.307702161403928259e-04,-1.150923660333870793e-02,-2.208060635980046982e+00,-9.408338486914136212e-02,3.237579006785867364e+01,-1.455383117117056702e-04,1.608751155618659539e+02,0.000000000000000000e+00,3.237579006785867364e+01,0.000000000000000000e+00
8.200000000000006173e-01,7.990887130470133992e-02,-1.627226790898119357e-04,1.494989284893549590e-02,3.990695899399216540e+00,-2.702919786186662237e-04,2.809373520364217072e-02,-1.091898429286678240e+00,2.929887342561712682e+00,1.514253310665777441e+01,-2.539787977094982562e-04,1.603297079334595878e+02,0.000000000000000000e+00,1.514253310665777441e+01,0.000000000000000000e+00
8.300000000000006262e-01,1.198137853454297047e-01,-1.686159255231380527e-04,1.478770077778824958e-02,3.988453034194398672e+00,-1.416929077989839453e-04,-1.052128849284510170e-02,-4.170760148183676108e+01,1.151347874997852294e+01,8.278723111693602732e+02,-1.379926629822294214e-04,1.600549790330442192e+02,0.000000000000000000e+00,8.278723111693602732e+02,0.000000000000000000e+00
8.400000000000006350e-01,1.596597181596930981e-01,-1.526913200339512363e-04,1.495874813263211971e-02,3.984615400449620370e+00,9.264738122312908292e-04,-1.964740091543747125e-02,-2.393707581057041178e+00,-7.046837369858276467e-01,4.245145116129518215e+01,-1.887262238776706968e-04,1.597361740675540887e+02,0.000000000000000000e+00,4.245145116129518215e+01,0.000000000000000000e+00
8.500000000000006439e-01,1.994752295233970518e-01,-1.349397164651304861e-04,1.484374452965379204e-02,3.980421690230820708e+00,2.336019265889940216e-03,-2.185862843457208118e-02,-4.150629221165689131e+01,4.456798077698443272e+00,8.275944153009793354e+02,-1.819402162479694107e-04,1.593503130756882342e+02,0.000000000000000000e+00,8.275944153009793354e+02,0.000000000000000000e+00
8.600000000000006528e-01,2.392398078779724990e-01,-1.034693817434828616e-04,1.485315960945605800e-02,3.973897644864325063e+00,4.720783689878199803e-03,1.525859895563720647e-02,-1.580273875545745055e+00,1.393640926754863729e+00,2.823289028550448165e+01,-1.567718060654416014e-04,1.588352735662059558e+02,0.000000000000000000e+00,2.823289028550448165e+01,0.000000000000000000e+00
8.700000000000006617e-01,2.789591155124399036e-01,-5.389524610841974064e-05,1.484319259799691572e-02,3.969562851659417468e+00,6.828624838526724770e-03,1.005447235677514595e-02,-3.678208685463165040e+01,1.529201444499445550e+01,7.287206588006898755e+02,-1.349117942226110006e-04,1.584731494277087620e+02,0.000000000000000000e+00,7.287206588006898755e+02,0.000000000000000000e+00
8.800000000000006706e-01,3.186309926483473220e-01,2.124662568441660002e-05,1.482373827809177307e-02,3.967202282518873524e+00,7.593580816165972427e-03,-4.198673666092780921e-02,-4.698017682467125411e+01,5.958375098778721224e+01,9.247119071906266754e+02,-1.015756036288357339e-04,1.582919299605915739e+02,0.000000000000000000e+00,9.247119071906266754e+02,0.000000000000000000e+00
8.900000000000006795e-01,3.582484196805356125e-01,1.678836491601805444e-04,1.485907468501559275e-02,3.959523345645886039e+00,1.619305999689861150e-02,1.578664867627468807e-03,-9.462249032888918610e-01,3.171156975048523119e+00,2.039197613212262539e+01,-7.925617228919309976e-05,1.577251016217208530e+02,0.000000000000000000e+00,2.039197613212262539e+01,0.000000000000000000e+00
9.000000000000006883e-01,3.978201815653748530e-01,3.628139132251589839e-04,1.488042698212947712e-02,3.955246810199547713e+00,2.114682110862802639e-02,-5.994432817943524602e-03,-2.510131007566090755e+00,5.188497071635305602e+00,4.191929198218501540e+01,-2.158966410317059419e-04,1.573784146900260339e+02,0.000000000000000000e+00,4.191929198218501540e+01,0.000000000000000000e+00
