time,target_roll_deg,actual_roll_deg,Fx,Fy,Fz,base_load,left_load,right_load,fixture_torque_Nm,fixture_work_J,mechanical_energy_J
0.000000000000000000e+00,0.000000000000000000e+00,3.796838840054444808e-16,-3.051812177843559363e-15,4.792945422041387181e-16,1.888523099999999602e+02,9.442065359709786776e+01,4.721582820145201254e+01,4.721582820145009407e+01,-3.513020411309753219e-15,-1.753466744177366482e-35,4.997111800952534821e+00
1.000000000000000021e-02,1.099376567734490218e+00,3.602350569610537814e-03,2.924367363158486555e-03,-9.036413393535646321e+00,2.002575521467482815e+02,9.151302064416761084e+01,0.000000000000000000e+00,1.087445315025806707e+02,9.022815519939722861e+00,4.660548244364385857e-04,4.997264085851654158e+00
2.000000000000000042e-02,2.197668183525967933e+00,9.939040991639898348e-02,-1.393791228769127380e-02,-1.730177394447431993e+01,2.162817526010743450e+02,6.706201446894009166e+01,0.000000000000000000e+00,1.492197381321342675e+02,1.174073502510778866e+01,1.938279849003299998e-02,5.014757618157885233e+00
2.999999999999999889e-02,3.293790966148000710e+00,4.001817058564243190e-01,1.023638358867415103e-02,-1.698163268415253313e+01,2.122768585988533232e+02,2.931275140642597421e+01,0.000000000000000000e+00,1.829641071924273774e+02,1.131536389245039587e+01,8.018564873068728671e-02,5.073144990999319148e+00
4.000000000000000083e-02,4.386663174750649041e+00,8.946006625281180957e-01,-6.644980394030046422e-03,-1.650576962384008084e+01,2.067272507230488259e+02,1.080789450356180792e+00,0.000000000000000000e+00,2.056464612726926191e+02,1.045500705710554357e+01,1.737090255577743714e-01,5.162693804744853843e+00
5.000000000000000278e-02,5.475206276408079553e+00,1.541580498030637347e+00,-2.253740742058033680e-03,-1.201032934859822809e+01,2.028648558380987765e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.028648558380987765e+02,9.615553666034919900e+00,2.866180261550351771e-01,5.271177531505201408e+00
5.999999999999999778e-02,6.558346010500360812e+00,2.305234316576495246e+00,-1.048819765454062428e-03,-9.200346830956465993e+00,1.988394827087178385e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.988394827087178385e+02,8.869410570587355380e+00,4.092851310264261078e-01,5.390127406177128933e+00
7.000000000000000666e-02,7.635013448878988918e+00,3.155210960355542493e+00,-4.304431129189788263e-04,-7.313083571039108222e+00,1.955259739370587226e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.955259739370587226e+02,8.268144528117275627e+00,5.359468289887497905e-01,5.513965478960753508e+00
8.000000000000000167e-02,8.704146050769917764e+00,4.067588290125439876e+00,-2.187470265078428344e-04,-5.904726405759370245e+00,1.929899788976696584e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.929899788976696584e+02,7.788987853228150016e+00,6.634249967365658529e-01,5.639392179763663471e+00
8.999999999999999667e-02,9.764688711373024077e+00,5.024182097567023497e+00,-9.145688003328600324e-05,-4.810850973821003684e+00,1.910803455643977031e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.910803455643977031e+02,7.402808473574410186e+00,7.899515599065394245e-01,5.764477673430057791e+00
1.000000000000000056e-01,1.081559480312315813e+01,6.011248961435120108e+00,1.010896109334552539e-05,-3.942137625124882305e+00,1.896493971782134054e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.896493971782134054e+02,7.085619995528304571e+00,9.145193658949362092e-01,5.888070858208861225e+00
1.100000000000000006e-01,1.185582720858519856e+01,7.018362645833073010e+00,8.257864117896737688e-05,-3.236135262547982450e+00,1.885756163357674495e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.885756163357674495e+02,6.819176868468773023e+00,1.036538627892328757e+00,6.009468058636745269e+00
1.199999999999999956e-01,1.288435934396372673e+01,8.037558621291132965e+00,1.370171719917434583e-04,-2.648104470131547927e+00,1.877670618974035790e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.877670618974035790e+02,6.589835941178648682e+00,1.155649044912463896e+00,6.128221608788739339e+00
1.300000000000000044e-01,1.390017617221732138e+01,9.062691149161084425e+00,1.708933938223654303e-04,-2.147447937776712390e+00,1.871552848236796365e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.871552848236796365e+02,6.387636473561329353e+00,1.271619330906678336e+00,6.244033945793191265e+00
1.400000000000000133e-01,1.490227520477754375e+01,1.008895636176310440e+01,1.939317649482900918e-04,-1.712172492076269759e+00,1.866902762855195874e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.866902762855195874e+02,6.205358702074491362e+00,1.384293655151093372e+00,6.356698801624387052e+00
1.499999999999999944e-01,1.588966749088413799e+01,1.111254139910350602e+01,2.090912592724106234e-04,-1.325985595744525458e+00,1.863354963699372888e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.863354963699372888e+02,6.037784578764529897e+00,1.493562601698141368e+00,6.466068055522652180e+00
1.600000000000000033e-01,1.686137859356003688e+01,1.213036694851644803e+01,2.208134804689426689e-04,-9.766366654568838790e-01,1.860642494079472158e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.860642494079472158e+02,5.881150784454632685e+00,1.599347143418638151e+00,6.572032543841327623e+00
1.700000000000000122e-01,1.781644955126299479e+01,1.313989812168157201e+01,2.314021068695812366e-04,-6.549406760528215798e-01,1.858569906272379058e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.858569906272379058e+02,5.732759500787096840e+00,1.701589788622215327e+00,6.674510834905331258e+00
1.799999999999999933e-01,1.875393782426488087e+01,1.413900541479696216e+01,2.428927976715483661e-04,-3.540806618792263771e-01,1.856993831933008892e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.856993831933008892e+02,5.590696131204765607e+00,1.800249706563424201e+00,6.773442596723738163e+00
1.900000000000000022e-01,1.967291822482456709e+01,1.512586247476932577e+01,2.565485543160050952e-04,-6.906708677983020017e-02,1.855808810839213265e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.855808810839213265e+02,5.453623052154199513e+00,1.895300038532456544e+00,6.868784622910227178e+00
2.000000000000000111e-01,2.057248383023655691e+01,1.609887098464466604e+01,2.732730664586485725e-04,2.036933640631064524e-01,1.854936929008687230e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.854936929008687230e+02,5.320627044423019925e+00,1.986726371408591874e+00,6.960508382062182697e+00
2.099999999999999922e-01,2.145174687785417333e+01,1.705660554913968951e+01,2.936046966820066162e-04,4.667359143414311351e-01,1.854320238550552915e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.854320238550552915e+02,5.191106284938825866e+00,2.074525797537277505e+00,7.048598427526458821e+00
2.200000000000000011e-01,2.230983964120413532e+01,1.799777332898521109e+01,3.178267666337775132e-04,7.217993298755494003e-01,1.853915215103699268e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.853915215103699268e+02,5.064686512503328686e+00,2.158706243764929145e+00,7.133051285457025159e+00
2.300000000000000100e-01,2.314591528632781348e+01,1.892118454801171978e+01,3.459995112576053078e-04,9.700262402203940759e-01,1.853688717012004474e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.853688717012004474e+02,4.941158827555625521e+00,2.239285898820372100e+00,7.213874601507779261e+00
2.399999999999999911e-01,2.395914870750409875e+01,1.982573101274363481e+01,3.779950262796927252e-04,1.212115914127248617e+00,1.853615045166118307e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.853615045166118307e+02,4.820433451648142409e+00,2.316292650073338510e+00,7.291086421050560595e+00
2.500000000000000000e-01,2.474873734152916072e+01,2.071037053526171690e+01,4.135151620986987631e-04,1.448440636238674806e+00,1.853673810156068384e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.853673810156068384e+02,4.702505245651423138e+00,2.389763485820258548e+00,7.364714531866422220e+00
2.600000000000000089e-01,2.551390195974940411e+01,2.157411570411818147e+01,4.521064505955685320e-04,1.679134430858984617e+00,1.853848389548927571e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.853848389548927571e+02,4.587427881113114836e+00,2.459743844330411822e+00,7.434795829671833722e+00
2.700000000000000178e-01,2.625388743706608352e+01,2.241602585639559564e+01,4.931733179194264238e-04,1.904160809884775762e+00,1.854124816407198182e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.854124816407198182e+02,4.475294391742920652e+00,2.526286904920365117e+00,7.501375684958693668e+00
2.800000000000000266e-01,2.696796349715262409e+01,2.323520140454604999e+01,5.359935261167181331e-04,2.123364612210641766e+00,1.854490982437776552e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.854490982437776552e+02,4.366222450840069769e+00,2.589452824349990578e+00,7.564507300073649354e+00
2.899999999999999800e-01,2.765542543314915847e+01,2.403077989276560444e+01,5.797378750831416738e-04,2.336511764496635113e+00,1.854936070588849759e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.854936070588849759e+02,4.260343180348314718e+00,2.649307926518906786e+00,7.624251051297934900e+00
2.999999999999999889e-01,2.831559480312315813e+01,2.480193332027154796e+01,6.234955750492598980e-04,2.543319852295546024e+00,1.855450154884860581e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.855450154884860581e+02,4.157792636660019525e+00,2.705923856236720937e+00,7.680673813769302249e+00
3.099999999999999978e-01,2.894782009960966107e+01,2.554786638843199498e+01,6.663057638848224329e-04,2.743481669509587828e+00,1.856023922215599384e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.856023922215599384e+02,4.058705367558161470e+00,2.759376709490706236e+00,7.733848268528110026e+00
3.200000000000000067e-01,2.955147739257052919e+01,2.626781541667220310e+01,7.071946460986411331e-04,2.936683356785699139e+00,1.856648483204081117e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.856648483204081117e+02,3.963209615612839798e+00,2.809746153509670386e+00,7.783852191509481599e+00
3.300000000000000155e-01,3.012597094513802531e+01,2.696104773689849665e+01,7.452167115443719680e-04,3.122618305536966066e+00,1.857315248373913050e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.857315248373913050e+02,3.871423871723038701e+00,2.857114550180153589e+00,7.830767724455174772e+00
3.400000000000000244e-01,3.067073380153522777e+01,2.762686142409259205e+01,7.794974893783335190e-04,3.300997666922479201e+00,1.858015852454254002e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.858015852454254002e+02,3.783454569813557100e+00,2.901566096060763211e+00,7.874680627857454596e+00
3.500000000000000333e-01,3.118522834659287213e+01,2.826458525636848762e+01,8.092744857990386009e-04,3.471558048054078860e+00,1.858742114412239914e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.858742114412239914e+02,3.699394768540571476e+00,2.943185991369194010e+00,7.915679516439764640e+00
3.599999999999999867e-01,3.166894683631068474e+01,2.887357882457018121e+01,8.339324941767367605e-04,3.634066791252567263e+00,1.859486024133722140e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.859486024133722140e+02,3.619323695184107237e+00,2.982059648891823400e+00,7.953855078489682207e+00
3.699999999999999956e-01,3.212141189893933557e+01,2.945323273192925484e+01,8.530295214407290771e-04,3.788325110563284248e+00,1.860239748921978560e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.860239748921978560e+02,3.543307036809380861e+00,3.018271951825841182e+00,7.989299281639387296e+00
3.800000000000000044e-01,3.254217700608879937e+01,3.000296884019934751e+01,8.663102333751337980e-04,3.934169297167593449e+00,1.860995654430784327e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.860995654430784327e+02,3.471397860151682835e+00,3.051906567196245756e+00,8.022104569369897575e+00
3.900000000000000133e-01,3.293082691339789392e+01,3.052224053130211701e+01,8.737050553097036598e-04,4.071470193801805415e+00,1.861746335539271513e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.861746335539271513e+02,3.403638030331705977e+00,3.083045318836888704e+00,8.052363054415266674e+00
4.000000000000000222e-01,3.328697807033037037e+01,3.101053296369161671e+01,8.753146981365089729e-04,4.200131165037304548e+00,1.862484653240004775e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.862484653240004775e+02,3.340059985201548898e+00,3.111767621177782051e+00,8.080165717094141442e+00
4.100000000000000311e-01,3.361027899869300484e+01,3.146736331088651184e+01,8.713815995441409612e-04,4.320084838751884426e+00,1.863203774051855817e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.863203774051855817e+02,3.280688712079665947e+00,3.138149972462219495e+00,8.105601618091844429e+00
4.199999999999999845e-01,3.390041063950208411e+01,3.189228097621132818e+01,8.622511812697020162e-04,4.431288944990112277e+00,1.863897208943942587e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.863897208943942587e+02,3.225543771153070338e+00,3.162265503752742735e+00,8.128757136079622470e+00
4.299999999999999933e-01,3.415708666785614867e+01,3.228486778286188041e+01,8.483265129071160260e-04,4.533721613653753479e+00,1.864558849359439137e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.864558849359439137e+02,3.174641217664941450e+00,3.184183578371590606e+00,8.149715240600928112e+00
4.400000000000000022e-01,3.438005377550410202e+01,3.264473814202165158e+01,8.300195249700825784e-04,4.627376498980869890e+00,1.865182998666953154e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.865182998666953154e+02,3.127995294034917606e+00,3.203969435397481469e+00,8.168554809829732477e+00
4.500000000000000111e-01,3.456909192082981974e+01,3.297153920395831506e+01,8.076997033292787620e-04,4.712258071176471219e+00,1.865764398184431627e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.865764398184431627e+02,3.085619792190414046e+00,3.221683870563487595e+00,8.185350001215752513e+00
4.600000000000000200e-01,3.472401454600672110e+01,3.326495099791127075e+01,7.816355547045628072e-04,4.788377356900353377e+00,1.866298247701303126e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.866298247701303126e+02,3.047529022810067545e+00,3.237382948337683253e+00,8.200169680906075342e+00
4.700000000000000289e-01,3.484466876110779765e+01,3.352468656630419730e+01,7.519092213158495852e-04,4.855748330327125828e+00,1.866780221055262245e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.866780221055262245e+02,3.013738367946473318e+00,3.251117740002452017e+00,8.213076915477657280e+00
4.799999999999999822e-01,3.493093549498949812e+01,3.375049209760922508e+01,7.182371091190020707e-04,4.914385067600639978e+00,1.867206477717164432e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.867206477717164432e+02,2.984264432220243179e+00,3.262934083998739077e+00,8.224128527240107900e+00
4.899999999999999911e-01,3.498272961280060400e+01,3.394214706034390616e+01,6.794371244203123439e-04,4.964299688177926662e+00,1.867573671483457076e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.867573671483457076e+02,2.959124841155244212e+00,3.272872366452010517e+00,8.233374712433230158e+00
