time,x,y,z,vx,vy,vz,Fx,Fy,Fz,min_contact_distance,mechanical_energy,base_load,left_edge_load,right_edge_load
8.000000000000005995e-01,4.388125464163497088e-08,9.530747658848197736e-05,2.065781062758070916e-03,4.000000000000000000e+00,-1.936227336359711902e-10,-5.163168444333164766e-13,-4.215064970037472847e+01,1.617283183751513920e-01,8.390760926133756357e+02,-1.585170214177503454e-05,1.590056986692560201e+02,4.102844638216437829e+02,2.842287382495694033e+02,1.445728630761718705e+02
8.100000000000006084e-01,3.997212557450977727e-02,9.540478672284539476e-05,2.082593827226472422e-03,3.995245594591868787e+00,1.329997321564992718e-05,-1.622110414254139630e-03,-9.708511339751990654e-01,2.182238767299046756e-02,1.911441527612450386e+01,-5.862292130855324690e-05,1.586382628493987852e+02,1.040192612956892937e+01,2.353355766084091361e+00,6.359902572533986387e+00
8.200000000000006173e-01,7.989481022334232740e-02,9.610238615790875924e-05,2.097711677900905482e-03,3.990218500610395402e+00,7.660440304031293003e-05,-3.214669106236626994e-03,-5.481295960432762682e-01,-8.169429207563874695e-03,1.123759187202277054e+01,-6.927251962345342025e-05,1.582636778667538238e+02,1.123691749744875601e+01,0.000000000000000000e+00,0.000000000000000000e+00
8.300000000000006262e-01,1.197613472388440181e-01,9.778483972160492439e-05,2.214510110121757896e-03,3.985259770225935139e+00,2.604347589749709049e-04,-9.163349578859633290e-03,-6.678425816322652864e-01,-9.644269090818884116e-03,1.358940414458230173e+01,-8.874928113798154737e-05,1.579071418838979639e+02,1.082316812615182755e+01,2.218714309005932472e-01,2.543797708019756687e+00
8.400000000000006350e-01,1.595844443305631244e-01,1.005230236459753141e-04,2.179028910653476626e-03,3.978055747131336251e+00,2.980779257622790637e-04,3.661853170758889997e-02,-9.005135568766554632e-01,-6.320171235099245055e-03,1.780871963646315592e+01,-5.106007973203013049e-05,1.573593342730466702e+02,1.547348095156573855e+01,2.335744303590977733e+00,0.000000000000000000e+00
8.500000000000006439e-01,1.993638977824539749e-01,1.036613822527113318e-04,2.023609758360430440e-03,3.977643236468816124e+00,3.515444640735069116e-04,-5.811907764719683595e-02,-5.200515447542162661e+01,2.622719501583581914e-01,1.028000400228194394e+03,-5.802289469958505676e-05,1.573184583434214687e+02,5.004830204273562231e+02,2.999302768368094689e+02,2.276176049357675026e+02
8.600000000000006528e-01,2.390769329013445743e-01,1.074254678282597560e-04,2.205849082866784359e-03,3.970538341081757405e+00,3.773100383970898197e-04,-1.174822871498714533e-02,-2.863409807002965102e-01,-1.715947574261900404e-03,5.520703784490168076e+00,-2.739187414738065637e-05,1.567718070686746614e+02,3.545121554328237501e+00,9.697268389565701918e-01,1.006376503681839507e+00
8.700000000000006617e-01,2.787541221031815675e-01,1.112529725175465264e-04,2.108441934455965259e-03,3.965570937551825104e+00,3.868844256899394525e-04,-8.885268427091553081e-03,-5.565607802485372790e-01,-5.429364468852546088e-03,1.107006303059681329e+01,-5.491188427728566253e-05,1.563690654746029907e+02,6.255719013608898038e+00,4.814488853287780756e+00,0.000000000000000000e+00
8.800000000000006706e-01,3.183744577135340648e-01,1.151268515623224154e-04,2.176168998802604886e-03,3.960871182969238458e+00,3.876062087354075684e-04,-1.378402095228328621e-02,-1.138877851429681787e+00,7.561353887418172624e-03,2.265911559271851772e+01,-5.931802268250110401e-05,1.560256991473540609e+02,2.045258784284542486e+01,0.000000000000000000e+00,2.206839418303417677e+00
8.900000000000006795e-01,3.579501683571018611e-01,1.192983036192093592e-04,2.133592587188368802e-03,3.955532102681012852e+00,5.533788489987751316e-04,-1.437780000174396916e-02,-5.849383258997062907e-01,3.433521495747039048e-03,1.169444301970874811e+01,-2.197443073908081357e-06,1.556191471782416329e+02,6.693510423472058157e+00,2.591345699725543295e+00,2.409586896522577515e+00
