time,x,y,z,vx,vy,vz,Fx,Fy,Fz,min_contact_distance,mechanical_energy,base_load,left_edge_load,right_edge_load
0.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,3.868565916282395101e+00,3.579383314800978155e+00,0.000000000000000000e+00,-1.785501354164807930e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.887029569943473462e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000194e-02,8.035793833148005660e+00,-6.284237544249921097e-39,3.850171352740746844e+00,3.579383314800978155e+00,-6.284237544249920847e-36,-1.883601354164808228e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.886936937885419638e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000001082e-02,8.071587666296011321e+00,-1.301154902613102717e-36,3.830795789199098689e+00,3.579383314800978155e+00,-3.399427341049573486e-34,-1.981701354164808970e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.886844305827361268e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000001971e-02,8.107381499444016981e+00,-7.082738160317226270e-36,3.810439225657450635e+00,3.579383314800978155e+00,-3.118304833800444936e-34,-2.079801354164807936e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.886751673769308582e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000002859e-02,8.143175332592022642e+00,-1.198817123246231406e-35,3.789101662115802682e+00,3.579383314800978155e+00,-5.291094866985344860e-34,-2.177901354164806680e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.886659041711252485e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000003747e-02,8.178969165740028302e+00,-1.873038805582287572e-35,3.766783098574154831e+00,3.579383314800978155e+00,-1.075758467455310236e-33,-2.276001354164805424e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.886566409653197525e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000004635e-02,8.214864892746751579e+00,2.777330366542696315e-04,3.744419629381106951e+00,3.571299601157999160e+00,2.067664835772599075e-01,-1.859109602431575414e+00,-2.237918117450902628e+03,-1.196474306782413635e+02,3.451830818598398764e+03,-1.611093358895199007e-03,8.671292916768003352e+02,3.978806366337739291e+03,9.272398578021046660e+02,5.232376072982127653e+02
7.000000000000004829e-02,8.249506697822624801e+00,2.576102511847492595e-03,3.728779442697661484e+00,3.418400188791757888e+00,2.837086288024810998e-01,-1.470461111161051049e+00,2.517160300036214715e-01,-5.305029388073694875e-03,5.767417692209515501e-01,-1.363752295428643114e-04,8.432108609900792544e+02,6.284991143741707198e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000005718e-02,8.283768566183049131e+00,5.407733973619932577e-03,3.713534322082639783e+00,3.433684915460250675e+00,2.831582721523024371e-01,-1.568926104372410535e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.431879460616469260e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000006606e-02,8.318125498372925364e+00,8.238757173618429727e-03,3.697340820668440386e+00,3.434892844487523966e+00,2.830335330778444014e-01,-1.660286552833843965e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.431733951529718070e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000749e-01,8.352464229190635692e+00,1.101291951805630047e-02,3.680213095374771815e+00,3.432313882338908329e+00,2.531082507704894291e-01,-1.756671684628449137e+00,1.418992332690229752e+01,-1.065740768615978995e+00,3.298510547626753464e+01,-8.648824209794179693e-04,8.431345367344306396e+02,3.588245496697700077e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000838e-01,8.386773245379165687e+00,1.340108275586242986e-02,3.662122826822368449e+00,3.435821509092972459e+00,2.479461208942038419e-01,-1.853218502407562029e+00,6.583498794896312845e+00,-1.145286284884175776e-01,1.508935494225815077e+01,-1.270006938667784298e-04,8.430263468692721744e+02,1.644282303408761692e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000927e-01,8.421160770785274252e+00,1.593614848355716374e-02,3.643065370983484375e+00,3.438963976256041555e+00,3.049446029186962392e-01,-1.943853186616453677e+00,1.056549358595988650e+02,-6.529253817029697871e+00,2.404220010957760678e+02,-2.712871471072498229e-04,8.429732304944981252e+02,2.623080984484948317e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000877e-01,8.456556786917706958e+00,1.925234469015593350e-02,3.625843624026209522e+00,3.584137816451903547e+00,2.658514990368749942e-01,-1.602634603118544110e+00,1.170876624536245814e+01,-2.563408364815426554e-01,2.668775018267204757e+01,-3.555297046086073991e-04,8.388941463416930446e+02,5.494171494509539677e+00,0.000000000000000000e+00,2.361343454732604030e+01
1.400000000000000966e-01,8.492505076428463084e+00,2.184310059876952079e-02,3.609262860585027877e+00,3.595034895468499858e+00,3.135105582000931590e-01,-1.701773399008120746e+00,1.636160223566545824e+01,4.006044252093277080e+00,5.302939937593191644e+01,-6.933900760004653614e-04,8.387998376661239490e+02,5.599616051054236721e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000001055e-01,8.528465737423012172e+00,2.547609881577363525e-02,3.591726359352042319e+00,3.595091251427565915e+00,3.742432326078648508e-01,-1.795090207866943954e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.387493711630909274e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000001144e-01,8.564427570065184625e+00,2.911242709001742382e-02,3.573250638186270312e+00,3.594322191646587505e+00,3.244738462464763495e-01,-1.889662229161584550e+00,8.996956708459169505e+00,-2.917924412182926752e-01,2.060888779614771238e+01,-2.195067301012305124e-04,8.387269455177778354e+02,1.384488417389169967e+01,0.000000000000000000e+00,8.614805890351647122e+00
