time,x,y,z,vx,vy,vz,Fx,Fy,Fz,min_contact_distance,mechanical_energy,base_load,left_edge_load,right_edge_load
0.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,3.868565916282395101e+00,3.579383314800978155e+00,0.000000000000000000e+00,-1.785501354164807930e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.887029569943473462e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000194e-02,8.035793833148005660e+00,-3.667321383662919681e-39,3.850171352740746844e+00,3.579383314800978155e+00,-1.123749196110966777e-36,-1.883601354164808894e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.886936937885419638e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000001082e-02,8.071587666296011321e+00,-2.176684375348867411e-38,3.830795789199098689e+00,3.579383314800978155e+00,-1.982848042979486776e-36,-1.981701354164809858e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.886844305827361268e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000001971e-02,8.107381499444016981e+00,-6.723698462528662507e-38,3.810439225657450635e+00,3.579383314800978155e+00,-2.023554019475090623e-37,-2.079801354164808824e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.886751673769308582e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000002859e-02,8.143175332592022642e+00,8.721826928658539351e-40,3.789101662115802682e+00,3.579383314800978155e+00,1.971065216728958435e-36,-2.177901354164807568e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.886659041711252485e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000003747e-02,8.178969165740028302e+00,-2.660381523195015315e-37,3.766783098574154831e+00,3.579383314800978155e+00,-6.282275287609046585e-35,-2.276001354164806312e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.886566409653197525e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000004635e-02,8.214912577151679329e+00,1.591490120683422603e-04,3.744563990900873218e+00,3.664475199096310476e+00,5.420803910883834759e-02,-1.966454358841790651e+00,-3.329677143220996186e+03,-6.024986810625534872e+01,3.506352707525896221e+03,-1.203464119452190553e-03,8.774214978340816060e+02,5.055685723993820829e+03,7.663095536859899539e+02,2.875600285301136978e+02
7.000000000000004829e-02,8.249106710097592554e+00,2.008416654366301009e-03,3.728661904096560509e+00,3.358557570211772259e+00,2.679409568492507887e-01,-1.459575377898060911e+00,5.191102356286662456e+01,-1.300413524742953131e+00,1.190992549238967371e+02,-2.295542740762481111e-04,8.379979597224665895e+02,8.734318547560778256e+01,0.000000000000000000e+00,4.241906099829979837e+01
8.000000000000005718e-02,8.282725800293029295e+00,4.669662737217044994e-03,3.713665662056567562e+00,3.363027054763276347e+00,2.660389568792930204e-01,-1.540728177376816443e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.379581118604439780e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000006606e-02,8.316387024511945114e+00,7.329600827444904612e-03,3.697754172515828941e+00,3.368292037010028217e+00,2.659472540847352962e-01,-1.633003535924534289e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.379436146721034220e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000749e-01,8.350082224434650868e+00,9.985264782515714324e-03,3.680896091401023806e+00,3.369606686910376681e+00,2.646506888267458613e-01,-1.728964791103088317e+00,1.361600986449549922e+01,-4.544489956200585823e-01,3.146602565461562406e+01,-1.048134760514731747e-03,8.378805599635554699e+02,1.679030061066406532e+01,0.000000000000000000e+00,1.745303586976890742e+01
