time,x,y,z,vx,vy,vz,Fx,Fy,Fz,min_contact_distance,mechanical_energy,base_load,left_edge_load,right_edge_load
0.000000000000000000e+00,1.800000000000000000e+01,0.000000000000000000e+00,9.405731142999800287e-01,5.796462441051609460e+00,0.000000000000000000e+00,-1.549523529823934265e+00,-4.958110897795628489e+02,-4.179160778907458074e-01,2.599359995249146777e+02,-5.818037569708664654e-03,5.285817044853623656e+02,2.026116629779281539e+03,9.466632824543095239e+02,1.063010136028984107e+03
1.000000000000000194e-02,1.805585814587061932e+01,-4.931969606723314922e-05,9.252054422617261853e-01,5.650619522835881092e+00,-5.644236929752037904e-03,-1.591551591648009190e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.005564505723835964e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000001082e-02,1.811199115048970398e+01,-1.026193517596336294e-04,9.089335153672158940e-01,5.573009636254623977e+00,-5.328663507805372380e-03,-1.652993702987066715e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.003442785242637569e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000001971e-02,1.816759015004715394e+01,-1.303034381016250349e-04,8.920161677142055545e-01,5.585023129374030226e+00,-4.045357868181136758e-04,-1.731860508313696201e+00,7.478190150934308278e+00,-3.542482900807303881e-01,6.092946150336057798e+01,-1.105307327870903855e-03,5.001443548592678212e+02,2.293076993722423040e+01,1.351725556239263604e+01,2.486244599542509448e+01
4.000000000000002859e-02,1.822375795017898525e+01,1.047390173668895168e-04,8.742308056520412540e-01,5.619497574552850594e+00,3.299618860306099272e-02,-1.811773725340564134e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.001201561123474448e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000003747e-02,1.827913418053596928e+01,2.306073142111841401e-04,8.559204238621004324e-01,5.421381128332496857e+00,-7.783423375981379962e-03,-1.825038306240187147e+00,-3.442845273796125639e+03,-1.384935228197478523e+02,2.163973570547555937e+03,-3.398034768262223667e-03,4.879136670881806026e+02,1.059869232440674750e+03,3.533978013304259207e+02,4.636736504485391379e+03
6.000000000000004635e-02,1.832040515716868612e+01,3.944091916453439334e-04,8.447443208271999682e-01,3.300670189649465680e+00,6.676652663043920743e-02,-6.542428879399191377e-01,7.963257129242084886e+01,-3.147965119613984480e-02,4.783547651340317657e+02,-9.474175283969124735e-04,2.711680132354056809e+02,1.377337583998857440e+02,1.675548601768167885e+02,1.791238541863648095e+02
7.000000000000004829e-02,1.835330639196750724e+01,1.285946780019792731e-03,8.386117222562943230e-01,3.282091212084162102e+00,9.344127257779095974e-02,-6.268397996476005041e-01,6.412131429182480247e+00,2.928078645238847422e-01,7.094585616742494949e+01,-2.108862689609779413e-03,2.708750812665163608e+02,4.804274837172563650e+01,0.000000000000000000e+00,2.310356813807111109e+01
8.000000000000005718e-02,1.838613977725270843e+01,2.320018968540590257e-03,8.319843661748447250e-01,3.101567827195912841e+00,1.167225726269952996e-01,-6.509029481635166814e-01,-2.238922524609379707e+03,-2.224297642524859953e+01,7.104209863699642256e+02,-2.421052467414335028e-03,2.661463194467221456e+02,1.642514956551851128e+03,9.144344073138070144e+02,1.379891522796756931e+02
9.000000000000006606e-02,1.841301833033579172e+01,3.201809047113150525e-03,8.270972711463624449e-01,2.251457744282306717e+00,2.836583965939701857e-01,-2.719588827899101502e-01,6.969993719775368746e+00,2.587895170991006744e+00,9.113393406671296759e+01,-2.379287707752911294e-04,2.083145691338015411e+02,9.130522096678157595e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000749e-01,1.843531451428669854e+01,5.820221823869217194e-03,8.241436543893387867e-01,2.183322128549277874e+00,2.199523274030474318e-01,-3.138924098405755370e-01,2.423614932634116315e+00,7.815926572421147966e-01,3.135085110759990101e+01,-1.387178022229664485e-03,2.081709342365145119e+02,6.354103093990434381e+00,0.000000000000000000e+00,2.505552362100544173e+01
1.100000000000000838e-01,1.845723587309128177e+01,6.108279804345144622e-03,8.205039181068406462e-01,2.194501592580933469e+00,-4.857271424821342498e-02,-3.969971407219672344e-01,1.764641452177566094e+01,-1.948478362006213382e+00,9.308246823813304616e+01,-2.550925874947671500e-03,2.078510455378701067e+02,1.556362230313531292e+01,5.794153009987982728e+01,2.134193725620671955e+01
1.200000000000000927e-01,1.847919115378656940e+01,6.483101024125264948e-03,8.161914178822082810e-01,2.208481178783512355e+00,9.166340833657428411e-02,-4.644276954846906502e-01,2.871996959289892626e+00,1.126475069724975020e+00,3.760014359862147160e+01,-3.386160769475203211e-04,2.077481100719448079e+02,3.753489079894834646e+01,1.398923867480706407e-01,0.000000000000000000e+00
1.300000000000000877e-01,1.850102428887161921e+01,7.797510243516209485e-03,8.112013548553052011e-01,2.163911523374605128e+00,1.183859202354115847e-01,-5.271978223019753163e-01,1.029351445989146185e+01,-1.276542122672198909e+00,7.690751452858108905e+01,-7.836699495768996090e-04,2.061570939807257048e+02,5.336868269320677172e+01,1.951691627150039565e+01,4.808385922244171162e+00
1.400000000000000966e-01,1.852225188860304428e+01,8.736146053682327869e-03,8.056207396934658149e-01,2.159689784449779104e+00,1.264215434790121051e-01,-5.952650905907236334e-01,9.464508673705147146e+00,-1.433036910774339701e+00,4.349836935630528956e+01,-6.975412634306820889e-04,2.029739140973429983e+02,1.815596755708611099e+01,1.721942843079478891e+01,9.091640653854096144e+00
1.500000000000001055e-01,1.854336320651528425e+01,9.854846666926824969e-03,7.993956577899672400e-01,2.078931505676628877e+00,1.022160224781038657e-01,-6.456013210357581800e-01,3.426487195808923136e+00,6.738655598904300659e-01,5.032658948598616178e+01,-1.354787686100121687e-03,2.028709356395567340e+02,2.101313033992656543e+01,1.092434756991158551e+01,1.845048091507908339e+01
1.600000000000001144e-01,1.856460414735382969e+01,1.091054345262302237e-02,7.940475451259990658e-01,2.152085251902403407e+00,1.016332347202576203e-01,-3.842699200048702579e-01,7.671205797475333554e+01,-5.507592276672717446e+00,5.683621668862203933e+02,-1.236862548901164786e-03,2.012354558600114274e+02,2.053753932308868002e+02,1.876807710354634366e+02,1.800652196366830253e+02
1.700000000000001232e-01,1.858632549125754352e+01,1.193222983407728199e-02,7.907545756580771634e-01,2.190988205950056500e+00,1.068177366398546518e-01,-3.312591982165760673e-01,4.419393834922964004e+00,-1.823943565556523927e-01,4.401438736427077458e+01,-3.811319355873242411e-04,2.010920208851152609e+02,2.007638149859097609e+01,7.791151078533276930e+00,1.637016843607907646e+01
1.800000000000001321e-01,1.860796237893536897e+01,1.297460271611924378e-02,7.871196067700223509e-01,2.082594560206097789e+00,8.547499074783208861e-02,-3.791440520431499928e-01,1.299824819096807182e+01,-5.101461308943855411e-01,1.289571275906586720e+02,-7.871646632010647314e-04,1.986675210518155552e+02,5.586859729914110062e+01,2.673274622523481270e+01,4.720557522305004738e+01
