time,x,y,z,vx,vy,vz,Fx,Fy,Fz,min_contact_distance,mechanical_energy,base_load,left_edge_load,right_edge_load
0.000000000000000000e+00,1.800000000000000000e+01,0.000000000000000000e+00,9.405731142999800287e-01,5.796462441051609460e+00,0.000000000000000000e+00,-1.549523529823934265e+00,-6.113581270582271827e+02,8.999657968493077753e-01,2.959758033333090452e+02,-5.818037569708664654e-03,5.285817044853623656e+02,2.458618739988311972e+03,1.191490251420342929e+03,1.264434393790954800e+03
5.000000000000000971e-03,1.802808386960862208e+01,-2.277826432360248305e-05,9.329733140928886392e-01,5.388855345147778309e+00,-4.372693296332844960e-03,-1.468111893777716448e+00,9.068836111135627931e+00,1.114013512052164784e-01,6.337433890605632314e+01,-2.976465749995976535e-03,4.848882263538046118e+02,3.327130314644037412e+01,3.068229205888377820e+01,0.000000000000000000e+00
1.000000000000000541e-02,1.805505656199944653e+01,-3.472565555175313051e-05,9.255224190878786894e-01,5.398207293407458529e+00,-1.655704280230118003e-03,-1.510084517323738496e+00,1.030512389891388603e+00,1.501733363968614163e-02,7.443894734775266642e+00,-5.627262219498954665e-05,4.847349542265131959e+02,2.923844973443231687e+00,4.581656972102440939e+00,0.000000000000000000e+00
1.500000000000000985e-02,1.808206453520653056e+01,-3.984387642415445290e-05,9.178392814496784125e-01,5.404813950727983318e+00,-2.075821152184796604e-04,-1.558266736033542932e+00,4.904248476958692926e+00,6.235376049061400194e-02,3.542589459837530086e+01,-4.269885302346102321e-04,4.846572756795925443e+02,1.634028386580142111e+01,1.937880046501448916e+01,0.000000000000000000e+00
2.000000000000001429e-02,1.810911758507993952e+01,-3.355588071132422224e-05,9.099263134213161353e-01,5.416390354706174470e+00,2.128720777561072131e-03,-1.601579047019737745e+00,2.548723537631787384e+00,2.981028384243666896e-02,1.841066323832044560e+01,-2.099500916053279043e-05,4.846001724761194964e+02,8.343683309565239625e+00,1.021935071096738668e+01,0.000000000000000000e+00
2.500000000000001874e-02,1.813622884018102965e+01,-1.531923195074947410e-05,9.018073110506832357e-01,5.427144873553954696e+00,5.371422050534296194e-03,-1.641945887111690094e+00,7.300156371990105697e+00,8.570425292684830110e-02,5.957435990209940258e+01,-1.796809571100426838e-04,4.844632387648732674e+02,2.904211930941566422e+01,3.090289406668109606e+01,0.000000000000000000e+00
3.000000000000002318e-02,1.816340235604270248e+01,1.880672728023912051e-05,8.934923830018653979e-01,5.440482444112519467e+00,7.769798534759082137e-03,-1.679987194023162544e+00,5.397294422138350534e+00,6.170312857056879652e-02,4.404569097125449417e+01,-4.435582289431599327e-04,4.843926469060252202e+02,2.112013662591527918e+01,2.319959284845628034e+01,0.000000000000000000e+00
3.500000000000002415e-02,1.819063528991431511e+01,6.751655585601755471e-05,8.849891037610020383e-01,5.451889922839656677e+00,1.144709158109367617e-02,-1.717110235366887006e+00,7.724565859367325871e+00,8.291892105347233033e-02,6.303766148664978886e+01,-4.166812930908889243e-04,4.843007298303491552e+02,3.114037114212285928e+01,3.228949466945812929e+01,0.000000000000000000e+00
4.000000000000002859e-02,1.821793244603538398e+01,1.344648182673135724e-04,8.763091124961405187e-01,5.465508340747319949e+00,1.434966845775893091e-02,-1.751124782991534845e+00,4.009245936151243583e+00,7.363507081711717639e-02,3.765435452747209411e+01,-3.333929410673439064e-04,4.842414028324452033e+02,8.952685934625668196e+00,2.886719967078577298e+01,0.000000000000000000e+00
4.500000000000003303e-02,1.824528709787741221e+01,2.122938307186294192e-04,8.674581242265887449e-01,5.475458523104053121e+00,1.633408695822357801e-02,-1.785652720255586301e+00,7.124080270229407930e+00,2.192279745197954766e-01,6.690010996090478557e+01,-7.844549130264549721e-04,4.841275945885608394e+02,3.666895930984212981e+01,3.052597782496548007e+01,0.000000000000000000e+00
5.000000000000003747e-02,1.827269704048281440e+01,3.020740890792172504e-04,8.584397453309934312e-01,5.487598247117058570e+00,1.969144452789597238e-02,-1.818189275605172739e+00,1.396007497790677121e+02,-1.587872047978812207e+00,8.227375857243698647e+02,-1.325086746019957240e-04,4.840780502313283478e+02,4.940994543449215826e+02,3.393570883663165887e+02,0.000000000000000000e+00
5.500000000000004191e-02,1.830041327337994517e+01,4.291175145412549452e-04,8.498004851769775936e-01,5.581554340304566431e+00,2.508980094347976544e-02,-1.662104943651105282e+00,-1.369239722503495614e+03,1.423031705022539199e+02,4.432023551140755444e+03,-6.588647828674014384e-04,4.820415756333422905e+02,0.000000000000000000e+00,8.791853744776387813e+00,4.626941989256431953e+03
6.000000000000004635e-02,1.832569690699708076e+01,4.655284733096195712e-04,8.435704361013850461e-01,4.872411174855558968e+00,9.282760794288955064e-03,-1.059963680933797336e+00,-6.159312334582548374e+02,-9.304741615761376750e+01,1.228291573374533073e+03,-5.907394883731625045e-03,3.984478493169709168e+02,3.098022288412767011e+03,1.719921779537203747e+03,1.235588338721209993e+03
6.500000000000004385e-02,1.834918265690641448e+01,5.436651413890274728e-04,8.388885864949056081e-01,4.525148409208537004e+00,2.991650636807541980e-02,-8.700264412430681604e-01,-1.341137787594190058e+03,1.977967286574900641e+01,6.311587114216247301e+02,-7.942579648676506565e-03,3.678957448257617671e+02,6.487539628236668250e+03,3.619723693370302499e+03,2.708308823603661040e+03
7.000000000000004829e-02,1.837067626279987564e+01,7.508338309510290262e-04,8.349170358856395913e-01,4.112186211078237896e+00,4.780566236054126922e-02,-7.273087360512716648e-01,-1.364786858682728962e+03,7.678592515636208482e+00,7.373145498984526967e+02,-9.150112618387655494e-03,3.372546142512205734e+02,7.469852962606442816e+03,3.972577556731735513e+03,3.443725890179643102e+03
7.500000000000005274e-02,1.838983490145789546e+01,9.840981860904192066e-04,8.317965029477127903e-01,3.342982230060524085e+00,3.773163612046187554e-02,-4.654455921387341544e-01,-5.600009982391524318e+03,-6.812464978276550198e+01,1.788761797377896755e+03,-1.024233513961264261e-02,2.855719387048565068e+02,8.538869892544691538e+03,3.380392672174180007e+03,1.900783468483155048e+03
8.000000000000005718e-02,1.840307219004847994e+01,1.210380620350052193e-03,8.311500837496360594e-01,2.133007731244477068e+00,5.645176590658784743e-02,1.582429666536461221e-01,-6.038020160835776551e+03,-7.242498244559970999e+01,2.361455477805041028e+03,-1.205308974764537043e-02,2.162009593050836145e+02,8.462240348677043585e+03,1.695727366309578883e+03,2.522514545379277934e+03
8.500000000000006162e-02,1.841032178857189194e+01,1.445531807754370452e-03,8.330425415670278388e-01,1.052666786346134531e+00,4.251825339805261755e-02,4.849376130635569826e-01,-2.491782236170218766e+03,-7.079482128162634069e+01,6.247560348933604928e+02,-1.243389045404104040e-02,1.847996467397575771e+02,5.830853833282320011e+03,1.907962659254349774e+03,2.279532176286706090e+03
9.000000000000006606e-02,1.841427154908517849e+01,1.627041258357111173e-03,8.356592090923579130e-01,6.182068074286410919e-01,3.637357431658171103e-02,5.446212654846238621e-01,-1.423422788298526029e+03,7.095364389843786057e+01,3.728276687887459957e+02,-1.245216037525128175e-02,1.787259748941579574e+02,4.691381940150601622e+03,1.836350189345577746e+03,2.128642575816717908e+03
9.500000000000007050e-02,1.841688522372598058e+01,1.837064111415690273e-03,8.383823424592373730e-01,4.935324670492238219e-01,4.429870328754156178e-02,5.331645715547457254e-01,-4.585706052838401661e+02,-1.802485418747290957e+00,1.612029590848489988e+02,-1.278776523794806358e-02,1.776820659942602276e+02,3.861935664924073535e+03,2.087648965072228293e+03,2.146735270385800504e+03
1.000000000000000749e-01,1.841924338795494265e+01,2.060876931233945105e-03,8.409572784178986904e-01,4.511592204324957334e-01,4.452559717568634057e-02,5.004798681162504481e-01,-4.694101996949494833e+02,-3.956511435036595969e+00,1.561082876044354180e+02,-1.347237786612365089e-02,1.775483384330195236e+02,4.105780673086887873e+03,2.247763038954459262e+03,2.381647009816603259e+03
1.050000000000000794e-01,1.842131654145163111e+01,2.287512837064143486e-03,8.433877132023734902e-01,3.796552252166041086e-01,4.625470764003380975e-02,4.772880041773609472e-01,-5.235657008345389158e+02,-1.463195920409853557e+01,2.154775822249083603e+02,-1.428905883407736825e-02,1.773011408704320786e+02,4.225581263557010971e+03,2.379812164768989078e+03,2.543553452663184089e+03
1.100000000000000838e-01,1.842295465481304362e+01,2.504327254858473070e-03,8.457672345759689181e-01,2.847960827785479543e-01,3.961344287066433795e-02,4.778876747810428816e-01,-4.348895477846283484e+02,-3.010186570311277166e+01,2.332654565112396767e+02,-1.508644751962460138e-02,1.768889648157177135e+02,4.579551863193508325e+03,2.507892622935993131e+03,2.915744000963993130e+03
1.150000000000000883e-01,1.842416880206595309e+01,2.675855627557600491e-03,8.481912649863423415e-01,2.122927158435608253e-01,2.959507764015286563e-02,4.921613542111930029e-01,-2.583957892719477059e+02,-3.456645121344143234e+01,2.394417648380371020e+02,-1.571829352681091904e-02,1.763763745054208698e+02,4.832446369327101820e+03,2.613559017385210609e+03,3.288718671206996078e+03
1.200000000000000927e-01,1.842507416333026526e+01,2.793372112849793875e-03,8.507152920367538895e-01,1.582852377758400819e-01,1.922450270057273966e-02,5.160723360879568844e-01,-8.956467709883429507e+01,-2.845898602485852535e+01,2.605499298475666592e+02,-1.614970142079809323e-02,1.759319382449967861e+02,5.067085470217309194e+03,2.732247011920875138e+03,3.497358125791638940e+03
1.250000000000000833e-01,1.842576061708416546e+01,2.867904411990548127e-03,8.533714190593920668e-01,1.228562121100657961e-01,1.172678752789335296e-02,5.438108228147003897e-01,5.255397888143954788e+01,-1.286115198367212287e+01,2.766544438139711701e+02,-1.646733886637898048e-02,1.758025919624361677e+02,5.256104045473945007e+03,2.790549168781725712e+03,3.674336423547674713e+03
1.300000000000000877e-01,1.842631951215518171e+01,2.908691738983420171e-03,8.561644496424734019e-01,1.048361347668494148e-01,5.543278699839717868e-03,5.702106427688381496e-01,1.357736970922199475e+02,-1.017448455078906022e+01,2.769760627894571599e+02,-1.676445908704647658e-02,1.760462019992264402e+02,5.381823378623283133e+03,2.867889625537719439e+03,3.762663999527914257e+03
1.350000000000000921e-01,1.842682213840758365e+01,2.924077773577773640e-03,8.590772224535909718e-01,9.816915062752580579e-02,1.362219045155612122e-03,5.917674974520854558e-01,1.525582043019360299e+02,-2.308801064287519367e+01,2.616175292629536671e+02,-1.709091959476633643e-02,1.765606754538286509e+02,5.427390672266632464e+03,2.955298885793666614e+03,3.816395723394531615e+03
1.400000000000000966e-01,1.842730155179544482e+01,2.919783630816831076e-03,8.620811738871274610e-01,9.371652394199292413e-02,-2.694300783296624778e-03,6.071776323865013536e-01,1.023087023567726987e+02,-2.346049560557402813e+01,2.351107653901889307e+02,-1.746937573483666253e-02,1.771749833036172959e+02,5.527622556114240069e+03,2.995181893705839229e+03,3.849305139912927643e+03
1.450000000000001010e-01,1.842774688536790251e+01,2.895376185616481673e-03,8.651427485574026965e-01,8.428432933162889606e-02,-6.627897078829051575e-03,6.152730336776491837e-01,2.012525299122717115e+01,-9.289614740937850002e+00,1.965210090906937239e+02,-1.787294693309876212e-02,1.777759877009157492e+02,5.636809582267734186e+03,3.004390812199570519e+03,3.883297347697300665e+03
1.500000000000001055e-01,1.842812654946499862e+01,2.852242989953153798e-03,8.682200255145511303e-01,6.841546961678876548e-02,-1.036337155676341111e-02,6.140219394878909664e-01,-7.133932385508546759e+01,-2.419520662720310256e+01,1.520104785221451493e+02,-1.828485825160345787e-02,1.783465760200166415e+02,5.680011637538145806e+03,3.067347839334230684e+03,3.857381017274669830e+03
1.550000000000001099e-01,1.842841702774276058e+01,2.791734116929889525e-03,8.712610544595569273e-01,4.995027639798820668e-02,-1.364906367071019345e-02,6.016921295996042751e-01,-1.267979915614108108e+02,-2.437135053950652619e+01,1.069530475638099460e+02,-1.869244679313913221e-02,1.789426883440155223e+02,5.735115361471538563e+03,3.125536419956125428e+03,3.849886488201720113e+03
1.600000000000001144e-01,1.842862182304398999e+01,2.716656443371711326e-03,8.742101459872374525e-01,3.450936890183635419e-02,-1.612943804251286070e-02,5.786531273303195944e-01,-1.387700403364190436e+02,-2.321873149146155413e+01,7.196419284313310527e+01,-1.909553018452968959e-02,1.796276280677166710e+02,5.808338923361347952e+03,3.184806242786956318e+03,3.878537960710139032e+03
1.650000000000001188e-01,1.842876903851649573e+01,2.624822310607948395e-03,8.770212032739712615e-01,2.653968236409735490e-02,-2.123023403572646059e-02,5.479066252080778687e-01,-1.227630255917509317e+02,-2.940887122943285803e+00,5.367880385977287006e+01,-1.950584558610219885e-02,1.804012411986229552e+02,5.851157939264126071e+03,3.103157597301979422e+03,4.044446479338437712e+03
1.700000000000001232e-01,1.842889593221717348e+01,2.504154759078805643e-03,8.796673312213372231e-01,2.514626558801686534e-02,-2.591010557521571112e-02,5.137810309803512165e-01,-8.719790824990980127e+01,1.460403060174128242e+01,5.265276704225993853e+01,-1.990802166476205587e-02,1.811905397264784483e+02,6.007761012269553248e+03,3.157763382081885084e+03,4.206652884311477465e+03
1.750000000000001277e-01,1.842906974313615365e+01,2.370551827264322838e-03,8.821376359687158608e-01,4.698984457166550943e-02,-2.703775161062579174e-02,4.775060018423663566e-01,6.829439269116505784e+00,-1.491627688374351735e+01,5.026363862689868256e+01,-2.030048644688512219e-02,1.818280352920995711e+02,6.817658628607867286e+03,3.767076853737813508e+03,4.777875457034318970e+03
1.800000000000001321e-01,1.842934544682933762e+01,2.233025511373248027e-03,8.844288959839522457e-01,5.929936080653383512e-02,-2.793349431259447083e-02,4.428971279240955794e-01,-1.559963987153344078e+01,5.868975739292390692e+00,6.754051816830224197e+01,-2.064546815008060782e-02,1.821318445236396144e+02,6.985432992217418359e+03,3.842608476519493706e+03,4.908619446798178615e+03
