time,target_roll_deg,actual_roll_deg,Fx,Fy,Fz,base_load,left_load,right_load,fixture_torque_Nm,fixture_work_J,mechanical_energy_J
0.000000000000000000e+00,0.000000000000000000e+00,-7.005140457751690695e-17,-1.532631694840677617e-15,7.219350963734822711e-14,1.888523100000000738e+02,1.133006758469231414e+02,3.777581707653844489e+01,3.777581707653845910e+01,1.136079585229265648e-15,-3.726097900536023829e-36,5.000410063020100715e+00
1.000000000000000021e-02,1.099376567734490218e+00,5.710025496873120422e-03,5.628079951582494467e-04,-7.388345215188228288e+00,1.970791654358892231e+02,2.642129987990631257e+00,0.000000000000000000e+00,1.944370354478986087e+02,8.726256984868456357e+00,7.118153287337960176e-04,5.000737066078906778e+00
2.000000000000000042e-02,2.197668183525967933e+00,1.037332272219906315e-01,-1.534688555663297690e-02,-1.734637705935914198e+01,2.168398398303640988e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.168398398303640988e+02,1.157670765750995123e+01,1.962308106816660486e-02,5.017715846825674397e+00
2.999999999999999889e-02,3.293790966148000710e+00,4.035260474933687336e-01,1.685018985284687451e-02,-1.710029218487542835e+01,2.137649616812400666e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.137649616812400666e+02,1.119151038653811270e+01,7.956828250086732390e-02,5.076185841968014145e+00
4.000000000000000083e-02,4.386663174750649041e+00,8.976935088817675767e-01,-1.151938637855873943e-02,-1.646291870386703948e+01,2.074692389568170370e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.074692389568170370e+02,1.030865997228293551e+01,1.720369676835006301e-01,5.167643933552001023e+00
5.000000000000000278e-02,5.475206276408079553e+00,1.545716639732745756e+00,-1.022255973928136615e-02,-1.200815243950376043e+01,2.026312222724654077e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.026312222724654077e+02,9.457088360655113490e+00,2.835468483788847194e-01,5.278376089195988108e+00
5.999999999999999778e-02,6.558346010500360812e+00,2.310570719176122445e+00,-9.144002349504055938e-04,-9.318788439687326175e+00,1.983463862856438027e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.983463862856438027e+02,8.733158638791060469e+00,4.045989172413105850e-01,5.398855928576380414e+00
7.000000000000000666e-02,7.635013448878988918e+00,3.161137118754548059e+00,-1.427162408789486251e-03,-7.457070342150756481e+00,1.951021574834319665e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.951021574834319665e+02,8.167164475167759008e+00,5.297605519555941278e-01,5.523601482545436703e+00
8.000000000000000167e-02,8.704146050769917764e+00,4.073466176379238135e+00,1.429494305818395684e-04,-6.033886490200935704e+00,1.926755840754771043e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.926755840754771043e+02,7.718926113871049211e+00,6.560282794048227784e-01,5.649567386526359591e+00
8.999999999999999667e-02,9.764688711373024077e+00,5.029594540994375862e+00,-1.324455895773133177e-04,-4.918122370082568473e+00,1.908683708687584613e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.908683708687584613e+02,7.356722175547474762e+00,7.816577389586247815e-01,5.774974604958442725e+00
1.000000000000000056e-01,1.081559480312315813e+01,6.015973296225821443e+00,-1.373320896592327214e-05,-4.028854076561363406e+00,1.895110782468386219e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.895110782468386219e+02,7.057363576393854032e+00,9.056114696632435734e-01,5.898767119154822325e+00
1.100000000000000006e-01,1.185582720858519856e+01,7.022316723159833352e+00,-2.157029281904792456e-05,-3.304094886931608244e+00,1.884874783343647948e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.884874783343647948e+02,6.803951313164333214e+00,1.027250809913850649e+00,6.020292289913125927e+00
1.199999999999999956e-01,1.288435934396372673e+01,8.040746553825453447e+00,7.648871709871676861e-07,-2.700492130808930469e+00,1.877118577180831664e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.877118577180831664e+02,6.584182408757754956e+00,1.146167883437376744e+00,6.139130448801560114e+00
1.300000000000000044e-01,1.390017617221732138e+01,9.065163523188749295e+00,5.258524143065060330e-06,-2.187263869071966127e+00,1.871215451502421274e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.871215451502421274e+02,6.389129466262673418e+00,1.262091532399951532e+00,6.255000184144723363e+00
